fm,sm,rb,rs,vm,tp,sl,trades,win_rate,avg_pnl,profit_factor,total_pnl
10,20,65,80,2.0,15.0,3.0,3.0,66.7,9.68,8.89,29.05
10,20,65,80,2.0,10.0,3.0,3.0,66.7,9.66,8.87,28.99
10,20,65,80,2.0,6.0,3.0,3.0,66.7,8.81,8.17,26.42
5,60,65,80,2.0,15.0,5.0,3.0,66.7,10.03,6.87,30.08
10,20,65,80,2.0,15.0,5.0,3.0,66.7,8.98,5.65,26.94
10,20,65,80,2.0,10.0,5.0,3.0,66.7,8.96,5.64,26.88
5,20,60,80,1.5,10.0,3.0,3.0,55.57,4.39,5.39,13.16
5,20,60,80,1.5,15.0,3.0,3.0,55.57,4.39,5.39,13.16
10,20,65,80,2.0,6.0,5.0,3.0,66.7,8.1,5.2,24.31
5,20,65,80,1.5,15.0,3.0,3.4,60.02,5.61,5.05,17.54
5,20,65,80,1.5,10.0,3.0,3.4,60.02,4.4,4.48,13.6
5,20,65,75,1.5,10.0,3.0,3.4,61.68,2.87,4.39,8.64
5,20,65,75,1.5,15.0,3.0,3.4,61.68,2.83,4.37,8.55
5,20,65,75,1.5,6.0,3.0,3.4,61.68,2.71,4.3,8.18
5,60,65,80,2.0,10.0,5.0,3.0,66.7,5.39,4.16,16.17
10,20,65,75,2.0,10.0,3.0,3.0,66.7,3.55,3.89,10.64
10,20,65,75,2.0,15.0,3.0,3.0,66.7,3.55,3.89,10.64
5,20,65,70,1.5,15.0,3.0,3.4,61.68,2.23,3.83,6.31
5,20,65,70,1.5,10.0,3.0,3.4,61.68,2.23,3.83,6.31
10,20,65,80,2.0,10.0,8.0,3.0,66.7,8.0,3.77,24.0
10,20,65,80,2.0,15.0,8.0,3.0,66.7,8.02,3.77,24.06
5,20,65,70,1.5,6.0,3.0,3.4,61.68,2.07,3.74,5.85
5,20,65,80,1.5,15.0,5.0,3.4,60.02,5.36,3.73,16.7
5,20,65,75,1.5,10.0,5.0,3.4,61.68,2.61,3.61,7.8
5,20,65,75,1.5,15.0,5.0,3.4,61.68,2.58,3.6,7.7
5,20,65,75,1.5,6.0,5.0,3.4,61.68,2.45,3.53,7.33
10,20,65,75,2.0,6.0,3.0,3.0,66.7,3.11,3.53,9.33
5,20,60,80,1.5,6.0,3.0,3.0,55.57,2.42,3.51,7.25
5,60,65,80,2.0,6.0,5.0,3.0,66.7,4.25,3.49,12.75
10,20,65,80,2.0,6.0,8.0,3.0,66.7,7.14,3.47,21.43
5,20,60,75,1.5,15.0,3.0,3.0,44.43,2.24,3.28,6.72
5,20,60,75,1.5,10.0,3.0,3.0,44.43,2.24,3.28,6.72
5,20,60,75,1.5,6.0,3.0,3.0,44.43,2.24,3.28,6.72
5,20,60,80,1.5,15.0,5.0,3.0,55.57,4.0,3.26,12.01
5,20,65,75,1.5,10.0,8.0,3.4,61.68,2.2,3.26,6.68
5,20,60,80,1.5,10.0,5.0,3.0,55.57,4.0,3.26,12.01
5,20,65,75,1.5,15.0,8.0,3.4,61.68,2.17,3.25,6.58
10,20,65,70,2.0,15.0,5.0,3.0,66.7,1.9,3.25,5.71
10,20,65,70,2.0,6.0,8.0,3.0,66.7,1.9,3.25,5.71
10,20,65,70,2.0,10.0,5.0,3.0,66.7,1.9,3.25,5.71
10,20,65,70,2.0,6.0,5.0,3.0,66.7,1.9,3.25,5.71
10,20,65,70,2.0,10.0,8.0,3.0,66.7,1.9,3.25,5.71
10,20,65,70,2.0,15.0,8.0,3.0,66.7,1.9,3.25,5.71
5,20,65,70,1.5,15.0,5.0,3.4,61.68,1.97,3.22,5.47
5,20,65,70,1.5,10.0,5.0,3.4,61.68,1.97,3.22,5.47
5,20,65,75,1.5,6.0,8.0,3.4,61.68,2.04,3.21,6.21
