Date,Top10,Avg_Return_5d,KOSPI_Return_5d,Excess_Return,Win,Beat_Market,Candidates,Market_Condition
2026-01-02,"352820,068270,095340,084370,263750,067310,036570,039030,000990,036930",0.37,6.42,-6.05,1,0,198,강세(2.2%)
2026-01-05,"001440,000990,047810,298380,010950,068270,402340,034020,012450,034730",5.85,3.75,2.1,1,1,198,강세(2.3%)
2026-01-06,"064760,058470,036930,034730,267270,035420,014680,039490,377300,005940",-0.23,3.69,-3.92,0,0,198,중립(0.7%)
2026-01-07,"000250,014680,357780,454910,009420,012330,000270,005850,068270,005380",3.15,3.78,-0.63,1,0,198,중립(-0.2%)
2026-01-08,"039030,207940,329180,011070,047810,267260,141080,028260,010140,000880",9.39,5.39,4.01,1,1,198,중립(-0.2%)
2026-01-09,"000880,000270,010140,082740,005380,009540,010170,047810,010950,310210",5.72,5.55,0.17,1,1,198,중립(0.6%)
2026-01-12,"298040,000250,010120,009540,028300,034020,241560,011780,052690,047810",7.09,6.05,1.04,1,1,198,중립(0.5%)
2026-01-13,"011780,000250,000270,005490,010130,015760,005850,028260,204320,047050",10.48,4.12,6.36,1,1,198,중립(0.7%)
2026-01-14,"000270,034020,001040,009830,010120,002380,178320,047050,034730,006260",3.13,3.96,-0.82,1,0,198,중립(-0.0%)
2026-01-15,"454910,047050,178320,010950,034730,047040,272210,277810,064400,000880",5.31,3.23,2.08,1,1,199,강세(1.3%)
2026-01-16,"005850,403870,353200,214150,018260,003490,000250,032830,031980,145020",5.71,3.08,2.62,1,1,199,중립(0.6%)
2026-01-19,"064400,066570,017670,352820,178320,052690,005850,108490,006400,277810",8.29,0.92,7.37,1,1,198,강세(1.4%)
2026-01-20,"277810,017670,028670,014680,375500,062040,267250,457190,032820,377300",8.97,4.08,4.89,1,1,198,중립(0.2%)
2026-01-21,"009970,014680,028670,000250,006400,161390,271560,178320,011780,278470",11.51,5.31,6.2,1,1,198,약세(-1.0%)
2026-01-22,"214450,086520,145020,014680,028670,055550,010950,178320,377300,023530",15.17,5.43,9.75,1,1,197,강세(1.4%)
2026-01-23,"950160,263750,032830,039490,064760,145020,323410,237690,090430,004020",12.89,4.7,8.19,1,1,198,강세(1.6%)
2026-01-26,"214450,214150,240810,131970,039030,259960,039490,028300,087010,005290",5.32,0.0,5.31,1,1,199,강세(3.1%)
2026-01-27,"259960,010950,010120,036930,319660,039030,035420,178320,084370,357780",10.63,4.0,6.64,1,1,198,강세(2.2%)
