Code,Name,Total_Trades,Win_Rate,Avg_Return,Strategy_Cum_Return,Buy_Hold_Return
196170,알테오젠,85,41.18,1.81,125.86,445.34
086520,에코프로,78,29.49,5.06,1105.25,1291.02
247540,에코프로비엠,90,44.44,1.52,124.95,198.76
277810,레인보우로보틱스,116,36.21,1.59,93.69,2041.08
950160,코오롱티슈진,80,30.0,0.76,11.74,506.85
036930,주성엔지니어링,91,37.36,2.2,270.77,1073.42
240810,원익IPS,100,32.0,-0.36,-47.08,224.16
028300,HLB,108,35.19,1.4,123.38,73.09
058470,리노공업,77,35.06,0.48,9.57,140.82
141080,리가켐바이오,91,37.36,-0.33,-46.86,209.11
298380,에이비엘바이오,96,29.17,-0.05,-40.89,392.38
039030,이오테크닉스,88,39.77,-0.01,-28.47,289.84
000250,삼천당제약,77,35.06,2.75,347.15,346.63
319660,피에스케이,73,34.25,1.34,70.46,706.35
087010,펩트론,101,35.64,2.97,488.73,1529.82
222800,심텍,78,38.46,2.24,167.66,452.44
403870,HPSP,78,33.33,-0.09,-23.66,396.62
440110,파두,41,36.59,4.76,219.62,210.51
347850,디앤디파마텍,42,40.48,1.39,25.92,912.7
095340,ISC,91,37.36,0.5,-1.83,668.18
214370,케어젠,80,37.5,2.69,280.72,427.86
084370,유진테크,77,35.06,1.21,54.76,267.45
108490,로보티즈,119,37.82,2.16,335.26,1498.84
310210,보로노이,54,40.74,4.39,382.31,736.14
214450,파마리서치,66,40.91,1.87,151.82,297.49
095610,테스,87,22.99,0.33,-30.01,491.12
226950,올릭스,88,35.23,1.84,96.64,301.92
145020,휴젤,87,32.18,-1.25,-71.28,15.63
178320,서진시스템,87,33.33,-1.7,-100.0,148.74
080220,제주반도체,119,31.93,3.09,406.1,1467.96
067310,하나마이크론,97,29.9,0.4,-31.04,358.0
214150,클래시스,66,42.42,1.3,76.66,171.9
064760,티씨케이,66,31.82,0.85,28.02,29.77
031980,피에스케이홀딩스,90,36.67,2.53,275.93,916.6
005290,동진쎄미켐,101,38.61,0.3,5.62,98.58
237690,에스티팜,91,27.47,-0.82,-62.72,20.75
319400,현대무벡스,110,36.36,-0.53,-100.0,390.25
357780,솔브레인,73,27.4,-0.54,-48.45,4.23
089970,브이엠,79,41.77,2.04,222.89,324.4
290650,엘앤씨바이오,78,32.05,1.66,127.84,182.04
131290,티에스이,77,37.66,0.6,13.03,290.92
263750,펄어비스,95,32.63,-0.4,-51.29,-50.47
131970,두산테스나,80,31.25,0.98,38.31,161.16
420770,기가비스,53,33.96,1.34,48.02,122.15
032820,우리기술,117,38.46,1.94,304.18,433.19
098460,고영,88,36.36,0.49,2.81,32.49
257720,실리콘투,79,29.11,3.26,-100.0,575.56
010170,대한광통신,90,36.67,3.44,855.47,341.76
043260,성호전자,113,37.17,4.11,696.43,1454.64
068760,셀트리온제약,91,32.97,0.58,42.91,-66.32
