Code,Name,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Return,Exit_Reason
196170,알테오젠,2021-06-29,2021-07-08,68398,75905,10.98,Chandelier Exit
196170,알테오젠,2021-07-21,2021-07-22,74821,73153,-2.23,Chandelier Exit
196170,알테오젠,2021-08-06,2021-08-10,75905,70984,-6.48,Chandelier Exit
196170,알테오젠,2021-08-25,2021-08-27,70317,67814,-3.56,Chandelier Exit
196170,알테오젠,2021-08-31,2021-09-08,70900,67481,-4.82,Chandelier Exit
196170,알테오젠,2021-10-15,2021-10-18,63560,63560,0.0,Gap-down Exit
196170,알테오젠,2021-10-19,2021-10-20,63393,63810,0.66,Gap-down Exit
196170,알테오젠,2021-10-26,2021-10-27,62059,60474,-2.55,Chandelier Exit
196170,알테오젠,2021-11-01,2021-11-08,61725,65979,6.89,Chandelier Exit
196170,알테오젠,2021-11-22,2021-11-23,62059,61474,-0.94,Gap-down Exit
196170,알테오젠,2021-12-03,2021-12-17,62309,62726,0.67,Chandelier Exit
196170,알테오젠,2022-02-18,2022-02-22,43958,42790,-2.66,Gap-down Exit
196170,알테오젠,2022-02-25,2022-03-23,43708,46878,7.25,Chandelier Exit
196170,알테오젠,2022-04-26,2022-05-09,47045,42791,-9.04,Chandelier Exit
196170,알테오젠,2022-05-20,2022-06-10,45376,43874,-3.31,Gap-down Exit
196170,알테오젠,2022-06-17,2022-06-27,47295,50548,6.88,Chandelier Exit
196170,알테오젠,2022-07-05,2022-08-17,52300,58472,11.8,Chandelier Exit
196170,알테오젠,2022-10-25,2022-10-26,35900,34950,-2.65,Chandelier Exit
196170,알테오젠,2022-10-27,2022-11-01,36750,35850,-2.45,Chandelier Exit
196170,알테오젠,2022-11-02,2022-11-14,36900,38050,3.12,Gap-down Exit
196170,알테오젠,2022-11-15,2022-11-22,41850,38900,-7.05,Gap-down Exit
196170,알테오젠,2022-12-01,2022-12-02,38350,38350,0.0,Gap-down Exit
196170,알테오젠,2022-12-05,2022-12-06,40000,39400,-1.5,Chandelier Exit
196170,알테오젠,2022-12-08,2022-12-12,40350,38800,-3.84,Chandelier Exit
196170,알테오젠,2022-12-28,2022-12-29,38300,37950,-0.91,Gap-down Exit
196170,알테오젠,2023-01-02,2023-01-03,39600,39100,-1.26,Gap-down Exit
196170,알테오젠,2023-01-31,2023-02-01,36700,38000,3.54,Gap-down Exit
196170,알테오젠,2023-02-02,2023-02-06,41400,40250,-2.78,Chandelier Exit
196170,알테오젠,2023-02-07,2023-02-22,42150,39000,-7.47,Chandelier Exit
196170,알테오젠,2023-03-17,2023-03-20,37100,37050,-0.13,Gap-down Exit
196170,알테오젠,2023-03-21,2023-03-23,37850,36800,-2.77,Chandelier Exit
196170,알테오젠,2023-03-27,2023-04-03,37900,39150,3.3,Chandelier Exit
196170,알테오젠,2023-04-04,2023-04-21,46000,46200,0.43,Chandelier Exit
196170,알테오젠,2023-05-17,2023-05-18,45300,45350,0.11,Gap-down Exit
196170,알테오젠,2023-05-19,2023-06-05,47200,48050,1.8,Chandelier Exit
196170,알테오젠,2023-07-19,2023-07-26,42050,40550,-3.57,Chandelier Exit
196170,알테오젠,2023-07-27,2023-08-28,43250,44000,1.73,Chandelier Exit
196170,알테오젠,2023-08-30,2023-09-01,45750,43750,-4.37,Chandelier Exit
196170,알테오젠,2023-09-11,2023-09-22,51900,70400,35.65,Chandelier Exit
196170,알테오젠,2023-09-25,2023-09-26,81000,63300,-21.85,Chandelier Exit
196170,알테오젠,2023-10-06,2023-10-13,68300,61500,-9.96,Chandelier Exit
196170,알테오젠,2023-10-30,2023-10-31,62200,62500,0.48,Gap-down Exit
196170,알테오젠,2023-11-01,2023-11-08,62800,65500,4.3,Chandelier Exit
196170,알테오젠,2023-11-14,2023-12-12,65500,72100,10.08,Chandelier Exit
196170,알테오젠,2023-12-21,2024-01-04,88100,88500,0.45,Chandelier Exit
196170,알테오젠,2024-01-09,2024-01-18,93000,83000,-10.75,Chandelier Exit
196170,알테오젠,2024-02-13,2024-03-27,86600,195600,125.87,Chandelier Exit
196170,알테오젠,2024-04-24,2024-04-25,178300,177700,-0.34,Gap-down Exit
196170,알테오젠,2024-04-26,2024-04-29,173700,174000,0.17,Gap-down Exit
196170,알테오젠,2024-04-30,2024-05-17,176900,174900,-1.13,Gap-down Exit
196170,알테오젠,2024-05-20,2024-05-23,190000,185900,-2.16,Chandelier Exit
196170,알테오젠,2024-05-24,2024-07-05,193100,254500,31.8,Gap-down Exit
196170,알테오젠,2024-07-12,2024-07-25,272500,275500,1.1,Chandelier Exit
196170,알테오젠,2024-07-26,2024-08-05,283500,261500,-7.76,Chandelier Exit
196170,알테오젠,2024-08-08,2024-09-09,297000,292000,-1.68,Gap-down Exit
196170,알테오젠,2024-09-12,2024-11-01,316000,356500,12.82,Chandelier Exit
196170,알테오젠,2024-11-04,2024-11-13,389500,421500,8.22,Chandelier Exit
196170,알테오젠,2024-11-14,2024-11-19,441500,376000,-14.84,Chandelier Exit
196170,알테오젠,2024-12-30,2025-03-06,309500,390500,26.17,Chandelier Exit
196170,알테오젠,2025-03-14,2025-03-19,392000,419000,6.89,Chandelier Exit
196170,알테오젠,2025-04-11,2025-04-14,374500,376500,0.53,Gap-down Exit
196170,알테오젠,2025-04-15,2025-04-16,380000,376500,-0.92,Gap-down Exit
196170,알테오젠,2025-04-18,2025-04-28,393000,357000,-9.16,Chandelier Exit
196170,알테오젠,2025-05-27,2025-05-28,344000,345500,0.44,Gap-down Exit
196170,알테오젠,2025-06-02,2025-06-13,350000,385500,10.14,Chandelier Exit
196170,알테오젠,2025-06-16,2025-06-30,405500,372000,-8.26,Chandelier Exit
196170,알테오젠,2025-07-02,2025-07-04,392500,375500,-4.33,Chandelier Exit
196170,알테오젠,2025-07-07,2025-07-28,417000,457000,9.59,Chandelier Exit
196170,알테오젠,2025-08-25,2025-08-27,438000,423000,-3.42,Chandelier Exit
196170,알테오젠,2025-08-29,2025-09-23,438500,482000,9.92,Chandelier Exit
196170,알테오젠,2025-10-27,2025-11-05,483500,529000,9.41,Chandelier Exit
196170,알테오젠,2025-11-06,2025-12-05,547000,512000,-6.4,Gap-down Exit
196170,알테오젠,2026-01-02,2026-01-05,457000,454500,-0.55,Gap-down Exit
196170,알테오젠,2026-01-06,2026-01-07,474000,470000,-0.84,Gap-down Exit
196170,알테오젠,2026-01-08,2026-01-14,478500,467000,-2.4,Chandelier Exit
196170,알테오젠,2026-01-16,2026-01-20,518000,481000,-7.14,Chandelier Exit
196170,알테오젠,2026-02-19,2026-02-20,411500,407500,-0.97,Gap-down Exit
196170,알테오젠,2026-02-23,2026-02-25,406000,402000,-0.99,Chandelier Exit
196170,알테오젠,2026-02-27,2026-03-03,407500,403000,-1.1,Gap-down Exit
196170,알테오젠,2026-03-26,2026-03-27,381000,385000,1.05,Gap-down Exit
196170,알테오젠,2026-04-03,2026-04-22,365500,359500,-1.64,Chandelier Exit
196170,알테오젠,2026-04-24,2026-05-08,369000,340500,-7.72,Chandelier Exit
196170,알테오젠,2026-05-14,2026-05-15,385000,369000,-4.16,Chandelier Exit
196170,알테오젠,2026-05-19,2026-06-05,366500,332500,-9.28,Chandelier Exit
196170,알테오젠,2026-06-16,2026-06-29,352500,373000,5.82,Holding Force Exit
086520,에코프로,2021-06-29,2021-07-02,8483,8465,-0.21,Chandelier Exit
