Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId,lateInfoMsgCd
005930,KR7005930003,삼성전자,KOSPI,,280500,1,6500,2.37,283000,283500,278500,7244655,2033120906000,1639881149544000,5846278608,STK,ME005
000660,KR7000660001,SK하이닉스,KOSPI,,1919000,1,51000,2.73,1909000,1935000,1904000,1299985,2498023405000,1401814848435000,730492365,STK,ME005
402340,KR7402340004,SK스퀘어,KOSPI,,1163000,1,36000,3.19,1189000,1189000,1152000,235818,274224707000,153427609674000,131923998,STK,ME005
009150,KR7009150004,삼성전기,KOSPI,,1518000,1,89000,6.23,1491000,1548000,1485000,534519,811429635000,113385030528000,74693696,STK,ME005
373220,KR7373220003,LG에너지솔루션,KOSPI,,352000,3,0,0.0,358000,359500,351500,82926,29337126250,82368000000000,234000000,STK,ME005
005380,KR7005380001,현대차,KOSPI,,366500,1,7500,2.09,364000,370000,363500,242852,88943163000,74570469318000,203466492,STK,ME005
207940,KR7207940008,삼성바이오로직스,KOSPI,,1397000,2,-5000,-0.36,1407000,1408000,1396000,9035,12652419500,64668458547000,46290951,STK,ME005
105560,KR7105560007,KB금융,KOSPI,,176000,2,-1500,-0.85,177700,178500,174700,296494,52106378600,62425041184000,354687734,STK,ME005
028260,KR7028260008,삼성물산,KOSPI,,363000,2,-4500,-1.22,382500,385500,362500,136437,50462777250,58866831903000,162167581,STK,ME005
032830,KR7032830002,삼성생명,KOSPI,,291000,3,0,0.0,299500,304000,288500,121214,35578974000,58200000000000,200000000,STK,ME005
034020,KR7034020008,두산에너빌리티,KOSPI,,85900,1,600,0.7,87000,87000,85200,1294631,111434802900,55024202441400,640561146,STK,ME005
012450,KR7012450003,한화에어로스페이스,KOSPI,,1060000,2,-7000,-0.66,1069000,1076000,1055000,36193,38476950500,54657205060000,51563401,STK,ME005
055550,KR7055550008,신한지주,KOSPI,,113200,1,100,0.09,114100,114300,112200,307039,34646598050,53141767054800,469450239,STK,ME005
329180,KR7329180004,HD현대중공업,KOSPI,,452000,1,1500,0.33,453500,455500,448000,60852,27422482250,47442473700000,104961225,STK,ME005
000270,KR7000270009,기아,KOSPI,,120200,1,200,0.17,120600,122000,120000,310972,37546667800,46927642359600,390412998,STK,ME005
006400,KR7006400006,삼성SDI,KOSPI,,535000,1,2000,0.38,539000,542000,533000,71873,38535477500,43113258550000,80585530,STK,ME005
034730,KR7034730002,SK,KOSPI,,584000,1,9000,1.57,590000,593000,581000,36105,21150569000,42341578552000,72502703,STK,ME005
068270,KR7068270008,셀트리온,KOSPI,,179300,2,-2100,-1.16,181800,182200,179200,155970,28099201650,41708259656800,232617176,STK,ME005
086790,KR7086790003,하나금융지주,KOSPI,,135500,2,-200,-0.15,136000,136500,134200,220792,29808920850,36716422805000,270969910,STK,ME005
