Code,Name,Market,Close,ChagesRatio,Volume,Amount,Marcap,Foreign_Net,Institutional_Net,Program_Net,Total_Combined_Net,FDR_Sector,FDR_Industry
000660,SK하이닉스,KOSPI,2930000,6.01,3002378,8590611492500,2088217929450000,0,0,0,0,,
005930,삼성전자,KOSPI,357500,0.99,15026159,5313101678000,2090044602360000,0,0,0,0,,
402340,SK스퀘어,KOSPI,1941000,9.04,835960,1591474497000,256131227226000,0,0,0,0,,
009150,삼성전기,KOSPI,2257000,-0.57,594447,1347496017500,168583671872000,0,0,0,0,,
080220,제주반도체,KOSDAQ,135300,18.37,7972402,1026573850800,4660115304900,0,0,0,0,,
066570,LG전자,KOSPI,235000,11.11,2587980,602378124500,38277889930000,0,0,0,0,,
403870,HPSP,KOSDAQ GLOBAL,58600,3.53,6169194,372900724450,4822780000000,0,0,0,0,,
005380,현대차,KOSPI,587000,-4.24,547037,322758121500,120192808642000,0,0,0,0,,
067310,하나마이크론,KOSDAQ,55700,13.67,5328438,290698005675,3702848328200,0,0,0,0,,
028260,삼성물산,KOSPI,530000,7.83,457429,240350402500,85948817930000,0,0,0,0,,
036930,주성엔지니어링,KOSDAQ GLOBAL,191200,-0.98,1212526,234356921750,8887190335200,0,0,0,0,,
011070,LG이노텍,KOSPI,1153000,0.7,182516,211087316000,27288174371000,0,0,0,0,,
240810,원익IPS,KOSDAQ GLOBAL,169400,8.59,1264742,210010079800,8314812829400,0,0,0,0,,
320000,한울반도체,KOSDAQ,22700,27.38,8725078,190005058140,151381987000,0,0,0,0,,
042660,한화오션,KOSPI,116900,-8.96,1580864,187042936300,35819725758600,0,0,0,0,,
064400,LG씨엔에스,KOSPI,90700,5.71,1830171,170089610850,8787555483600,0,0,0,0,,
006400,삼성SDI,KOSPI,541000,-2.52,292414,162198292000,43596771730000,0,0,0,0,,
032830,삼성생명,KOSPI,466000,-6.24,340486,161510116500,93200000000000,0,0,0,0,,
440110,파두,KOSDAQ,116200,14.6,1407208,159515410350,5821251297400,0,0,0,0,,
042700,한미반도체,KOSPI,300000,1.69,506056,151989715750,28593660000000,0,0,0,0,,
012330,현대모비스,KOSPI,578000,-5.56,258522,150807768500,52443432974000,0,0,0,0,,
047040,대우건설,KOSPI,21450,0.94,6772595,145511739875,8813968835100,0,0,0,0,,
319660,피에스케이,KOSDAQ,182700,10.73,741629,138735879850,5292218647800,0,0,0,0,,
004710,한솔테크닉스,KOSPI,15310,17.05,9112146,138077035635,622037905270,0,0,0,0,,
010120,LS ELECTRIC,KOSPI,248000,-4.25,516673,129699231500,37200000000000,0,0,0,0,,
329180,HD현대중공업,KOSPI,643000,-3.6,195202,125184292500,67490067675000,0,0,0,0,,
034020,두산에너빌리티,KOSPI,94500,-3.47,1306953,124965437950,60533028297000,0,0,0,0,,
010170,대한광통신,KOSDAQ,15780,-3.37,7325797,115671669560,2453563714800,0,0,0,0,,
067290,JW신약,KOSDAQ,2740,17.34,40976416,111197770128,153541662220,0,0,0,0,,
035420,NAVER,KOSPI,224500,-2.18,484381,109870746000,35221281466000,0,0,0,0,,
012450,한화에어로스페이스,KOSPI,1127000,0.45,90180,103360811500,58111952927000,0,0,0,0,,
347850,디앤디파마텍,KOSDAQ,104300,-6.21,948425,101544330450,4568772532100,0,0,0,0,,
034730,SK,KOSPI,730000,0.83,124125,91029798000,52926973190000,0,0,0,0,,
267260,HD현대일렉트릭,KOSPI,1050000,-2.6,85168,90221728500,37849491750000,0,0,0,0,,
006800,미래에셋증권,KOSPI,45800,-6.05,1795165,83074942850,25628163104000,0,0,0,0,,
093370,후성,KOSPI,18790,10.92,4578902,82759038235,2015327650700,0,0,0,0,,
089030,테크윙,KOSDAQ,60200,0.0,1294565,79608424100,2230629429000,0,0,0,0,,
001820,삼화콘덴서,KOSPI,168600,-1.69,457131,79428410350,1752597000000,0,0,0,0,,
000990,DB하이텍,KOSPI,166000,6.34,484957,79039920850,7221761608000,0,0,0,0,,
014950,삼익제약,KOSDAQ,8720,3.69,8796252,77361921405,87266167360,0,0,0,0,,
028050,삼성E&A,KOSPI,49950,2.67,1528696,77013440500,9790200000000,0,0,0,0,,
000720,현대건설,KOSPI,128100,-0.39,579226,74921417650,14264673496500,0,0,0,0,,
298040,효성중공업,KOSPI,3825000,-0.78,19187,73942183000,35666396100000,0,0,0,0,,
105560,KB금융,KOSPI,155600,-1.71,465502,72993896800,55189411410400,0,0,0,0,,
079550,LIG디펜스앤에어로스페이스,KOSPI,841000,-1.29,82287,70170678000,18502000000000,0,0,0,0,,
222800,심텍,KOSDAQ GLOBAL,133800,7.64,510666,67878746200,5012673967800,0,0,0,0,,
373220,LG에너지솔루션,KOSPI,390500,-3.46,171146,67849016000,91377000000000,0,0,0,0,,
000150,두산,KOSPI,1643000,0.74,39843,65677186000,26606470905000,0,0,0,0,,
198440,강동씨앤엘,KOSDAQ,2510,3.93,25112985,65565885652,152939058960,0,0,0,0,,
004310,현대약품,KOSPI,8410,3.19,7330746,63398444430,269120000000,0,0,0,0,,
000890,보해양조,KOSPI,2765,29.81,16301318,41943135186,76380429125,0,0,0,0,,
014910,성문전자,KOSPI,3080,4.58,9764559,32726192326,67320351560,0,0,0,0,,
058730,다스코,KOSPI,3270,-5.76,5226852,16984722071,65230682670,0,0,0,0,,
475430,키스트론,KOSDAQ,5620,19.57,4353599,23880585474,100306378200,0,0,0,0,,
011230,삼화전자,KOSPI,3175,-17.43,3666306,13085205431,60851367375,0,0,0,0,,
091590,남화토건,KOSDAQ,4730,-8.69,2321285,11818370020,55530200000,0,0,0,0,,
330350,위더스제약,KOSDAQ,8810,-0.56,2600311,23608740020,116289180800,0,0,0,0,,
079650,서산,KOSDAQ,6250,29.8,4027393,22361937605,125000000000,0,0,0,0,,
030960,양지사,KOSDAQ,6300,10.33,2151104,13772376070,100674000000,0,0,0,0,,
126640,화신정공,KOSDAQ,4870,-14.26,4140172,20802595882,170722281700,0,0,0,0,,
046970,우리로,KOSDAQ,7160,-2.59,4917797,37548107090,313786992840,0,0,0,0,,
056090,시지메드텍,KOSDAQ,1349,-16.63,9677428,14444952798,139296439564,0,0,0,0,,
026940,부국철강,KOSPI,2780,24.94,2227854,5526421729,55600000000,0,0,0,0,,
413630,씨피시스템,KOSDAQ,2630,-17.68,3016830,8753099520,95828271150,0,0,0,0,,
071670,에이테크솔루션,KOSDAQ,7510,29.93,846220,6002529195,75100000000,0,0,0,0,,
457370,한켐,KOSDAQ,13220,-3.85,527891,6988773375,106581411480,0,0,0,0,,
037350,성도이엔지,KOSDAQ,9960,7.33,919158,9463876395,151491600000,0,0,0,0,,
043650,국순당,KOSDAQ,3425,6.2,1010543,3689620844,61164691200,0,0,0,0,,
0017J0,세미티에스,KOSDAQ,4220,-8.66,1614307,7305393404,127176549060,0,0,0,0,,
311320,지오엘리먼트,KOSDAQ,11400,11.0,704107,7933007450,143805984000,0,0,0,0,,
