Time,Market,Foreign_Net,Individual_Net,Institutional_Net,Date
09:54,코스피,43,1351,-1263,20260811
09:54,코스닥,-1529,1439,61,20260811
09:58,코스피,-89,1445,-1243,20260811
09:58,코스닥,-1741,1563,133,20260811
09:59,코스피,-41,1418,-1265,20260811
09:59,코스닥,-1841,1630,165,20260811
10:00,코스피,-41,1418,-1265,20260811
10:00,코스닥,-1841,1630,165,20260811
10:02,코스피,113,1553,-1551,20260811
10:02,코스닥,-1955,1710,210,20260811
10:03,코스피,113,1553,-1551,20260811
10:03,코스닥,-1955,1710,210,20260811
10:04,코스피,16,2017,-1920,20260811
10:04,코스닥,-2001,1746,224,20260811
10:05,코스피,51,2129,-2060,20260811
10:05,코스닥,-1991,1710,251,20260811
10:06,코스피,51,2129,-2060,20260811
10:06,코스닥,-1991,1710,251,20260811
10:07,코스피,22,2197,-2102,20260811
10:07,코스닥,-1991,1701,259,20260811
10:08,코스피,-164,2646,-2321,20260811
10:08,코스닥,-2061,1757,273,20260811
10:09,코스피,-164,2646,-2321,20260811
10:09,코스닥,-2061,1757,273,20260811
10:11,코스피,-349,2951,-2422,20260811
10:11,코스닥,-2048,1709,307,20260811
10:12,코스피,-349,2951,-2422,20260811
10:12,코스닥,-2048,1709,307,20260811
10:13,코스피,-64,2454,-2157,20260811
10:13,코스닥,-2003,1639,334,20260811
10:14,코스피,67,2220,-2041,20260811
10:14,코스닥,-1994,1602,359,20260811
10:15,코스피,67,2220,-2041,20260811
10:15,코스닥,-1994,1602,359,20260811
10:16,코스피,313,1461,-1528,20260811
10:16,코스닥,-1957,1530,394,20260811
10:17,코스피,627,1162,-1531,20260811
10:17,코스닥,-2089,1641,411,20260811
10:18,코스피,627,1162,-1531,20260811
10:18,코스닥,-2089,1641,411,20260811
10:19,코스피,664,995,-1447,20260811
10:19,코스닥,-2166,1733,394,20260811
10:20,코스피,606,728,-1122,20260811
10:20,코스닥,-2219,1830,356,20260811
10:21,코스피,606,728,-1122,20260811
10:21,코스닥,-2219,1830,356,20260811
10:39,코스피,39,1442,-1365,20260811
10:39,코스닥,-2509,2378,87,20260811
10:40,코스피,86,1303,-1271,20260811
10:40,코스닥,-2477,2331,102,20260811
10:41,코스피,79,1246,-1206,20260811
10:41,코스닥,-2521,2378,98,20260811
10:42,코스피,79,1246,-1206,20260811
10:42,코스닥,-2521,2378,98,20260811
10:43,코스피,114,1269,-1264,20260811
10:43,코스닥,-2537,2390,102,20260811
10:44,코스피,189,1055,-1123,20260811
10:44,코스닥,-2563,2413,105,20260811
10:45,코스피,189,1055,-1123,20260811
10:45,코스닥,-2563,2413,105,20260811
10:47,코스피,196,618,-689,20260811
10:47,코스닥,-2635,2519,69,20260811
10:48,코스피,196,618,-689,20260811
10:48,코스닥,-2635,2519,69,20260811
10:49,코스피,261,456,-596,20260811
10:49,코스닥,-2656,2598,14,20260811
10:50,코스피,491,-71,-280,20260811
10:50,코스닥,-2635,2585,6,20260811
10:51,코스피,491,-71,-280,20260811
10:51,코스닥,-2635,2585,6,20260811
10:52,코스피,797,-535,-116,20260811
10:52,코스닥,-2660,2698,-84,20260811
10:53,코스피,1013,-883,7,20260811
10:53,코스닥,-2698,2798,-148,20260811
10:54,코스피,1013,-883,7,20260811
10:54,코스닥,-2698,2798,-148,20260811
10:55,코스피,1120,-967,-18,20260811
10:55,코스닥,-2661,2762,-151,20260811
10:56,코스피,1355,-1489,272,20260811
10:56,코스닥,-2654,2778,-174,20260811
10:57,코스피,1355,-1489,272,20260811
10:57,코스닥,-2654,2778,-174,20260811
10:58,코스피,1359,-1255,36,20260811
10:58,코스닥,-2649,2798,-201,20260811
10:59,코스피,1423,-1216,-71,20260811
10:59,코스닥,-2640,2817,-227,20260811
11:00,코스피,1423,-1216,-71,20260811
11:00,코스닥,-2640,2817,-227,20260811
11:01,코스피,1396,-1234,-24,20260811
11:01,코스닥,-2656,2902,-296,20260811
11:02,코스피,1364,-1146,-78,20260811
11:02,코스닥,-2651,2912,-312,20260811
11:03,코스피,1364,-1146,-78,20260811
11:03,코스닥,-2651,2912,-312,20260811
11:05,코스피,1391,-1151,-100,20260811
11:05,코스닥,-2645,2976,-384,20260811
11:06,코스피,1391,-1151,-100,20260811
11:06,코스닥,-2645,2976,-384,20260811
11:07,코스피,1470,-1271,-58,20260811
11:07,코스닥,-2622,2950,-381,20260811
11:08,코스피,1476,-1040,-298,20260811
11:08,코스닥,-2676,3051,-429,20260811
11:09,코스피,1476,-1040,-298,20260811
11:09,코스닥,-2676,3051,-429,20260811
11:10,코스피,1409,-948,-329,20260811
11:10,코스닥,-2684,3074,-444,20260811
11:11,코스피,1383,-738,-516,20260811
11:11,코스닥,-2698,3113,-469,20260811
11:13,코스피,1397,-848,-412,20260811
11:13,코스닥,-2684,3098,-469,20260811
11:14,코스피,1364,-857,-370,20260811
11:14,코스닥,-2676,3111,-490,20260811
11:15,코스피,1364,-857,-370,20260811
11:15,코스닥,-2676,3111,-490,20260811
11:19,코스피,1341,-808,-392,20260811
11:19,코스닥,-2694,3139,-499,20260811
11:20,코스피,1298,-889,-267,20260811
11:20,코스닥,-2708,3143,-491,20260811
11:21,코스피,1298,-889,-267,20260811
11:21,코스닥,-2708,3143,-491,20260811
11:22,코스피,1291,-840,-308,20260811
11:22,코스닥,-2727,3163,-492,20260811
11:23,코스피,1294,-694,-456,20260811
11:23,코스닥,-2755,3207,-508,20260811
11:24,코스피,1294,-694,-456,20260811
11:24,코스닥,-2755,3207,-508,20260811
11:25,코스피,1260,-714,-404,20260811
11:25,코스닥,-2756,3209,-508,20260811
11:26,코스피,1257,-687,-428,20260811
11:26,코스닥,-2756,3195,-494,20260811
11:27,코스피,1257,-687,-428,20260811
11:27,코스닥,-2756,3195,-494,20260811
11:28,코스피,1235,-693,-400,20260811
11:28,코스닥,-2752,3189,-494,20260811
11:29,코스피,1271,-766,-363,20260811
11:29,코스닥,-2763,3194,-490,20260811
11:30,코스피,1271,-766,-363,20260811
11:30,코스닥,-2763,3194,-490,20260811
11:32,코스피,1272,-815,-317,20260811
11:32,코스닥,-2799,3236,-496,20260811
11:33,코스피,1272,-815,-317,20260811
11:33,코스닥,-2799,3236,-496,20260811
11:43,코스피,1151,-911,-103,20260811
11:43,코스닥,-2825,3281,-516,20260811
11:44,코스피,1278,-1091,-51,20260811
11:44,코스닥,-2823,3275,-511,20260811
11:50,코스피,1163,-1308,270,20260811
11:50,코스닥,-2885,3368,-539,20260811
11:54,코스피,1156,-1492,461,20260811
11:54,코스닥,-2918,3443,-582,20260811
11:55,코스피,1115,-1442,453,20260811
11:55,코스닥,-2952,3522,-626,20260811
11:56,코스피,1102,-1470,493,20260811
11:56,코스닥,-2952,3526,-630,20260811
11:57,코스피,1102,-1470,493,20260811
11:57,코스닥,-2952,3526,-630,20260811
11:58,코스피,1124,-1472,472,20260811
11:58,코스닥,-2957,3540,-639,20260811
11:59,코스피,1207,-1475,393,20260811
11:59,코스닥,-2962,3554,-651,20260811
12:00,코스피,1207,-1475,393,20260811
12:00,코스닥,-2962,3554,-651,20260811
12:01,코스피,1190,-1498,432,20260811
12:01,코스닥,-2964,3564,-658,20260811
12:03,코스피,1164,-1552,514,20260811
12:03,코스닥,-2978,3593,-674,20260811
12:04,코스피,1169,-1615,572,20260811
12:04,코스닥,-2985,3605,-681,20260811
12:05,코스피,1231,-1915,816,20260811
12:05,코스닥,-2986,3600,-673,20260811
12:06,코스피,1231,-1915,816,20260811
12:06,코스닥,-2986,3600,-673,20260811
12:07,코스피,1293,-2115,951,20260811
12:07,코스닥,-3017,3652,-695,20260811
12:08,코스피,1263,-1942,807,20260811
12:08,코스닥,-3033,3692,-722,20260811
12:09,코스피,1263,-1942,807,20260811
12:09,코스닥,-3033,3692,-722,20260811
12:11,코스피,1305,-1877,710,20260811
12:11,코스닥,-3033,3694,-725,20260811
12:12,코스피,1305,-1877,710,20260811
