Code,Name,Market,Close,ChagesRatio,Volume,Amount,Marcap,Foreign_Net,Institutional_Net,Program_Net,Total_Combined_Net,FDR_Sector,FDR_Industry
000660,SK하이닉스,KOSPI,1420000,-0.14,3295283,4729433038360,1037299158300000,0,0,0,0,,
005930,삼성전자,KOSPI,230000,-0.43,16327805,3783527758000,1344644079840000,0,0,0,0,,
009150,삼성전기,KOSPI,1274000,-0.31,612678,791492624000,95159768704000,0,0,0,0,,
010170,대한광통신,KOSDAQ,14040,22.51,44098334,591094697670,2183018666400,0,0,0,0,,
080220,제주반도체,KOSDAQ,87700,16.31,4869712,420354858750,3020636454100,0,0,0,0,,
402340,SK스퀘어,KOSPI,949000,1.06,410049,387977424000,125228508314000,0,0,0,0,,
196170,알테오젠,KOSDAQ GLOBAL,348000,14.1,1033262,355276989250,18648047364000,0,0,0,0,,
012450,한화에어로스페이스,KOSPI,1152000,5.01,237101,274044629688,59401037952000,0,0,0,0,,
009830,한화솔루션,KOSPI,35250,3.98,7773653,271898374825,6059211894000,0,0,0,0,,
329180,HD현대중공업,KOSPI,532000,5.14,428788,226596938500,55839371700000,0,0,0,0,,
036930,주성엔지니어링,KOSDAQ GLOBAL,144800,13.3,1594417,225234943250,6730466320800,0,0,0,0,,
006400,삼성SDI,KOSPI,481500,4.9,423653,198532284500,38801932695000,0,0,0,0,,
066570,LG전자,KOSPI,190000,2.7,1054814,197978331100,30948081220000,0,0,0,0,,
005380,현대차,KOSPI,408000,3.16,458584,185390113500,83541168528000,0,0,0,0,,
006360,GS건설,KOSPI,34900,10.27,4904454,167947083975,2986794001000,0,0,0,0,,
010060,OCI홀딩스,KOSPI,284500,4.4,578403,159051923000,5311681004000,0,0,0,0,,
035420,NAVER,KOSPI,211500,0.71,733171,153237104000,33193707183000,0,0,0,0,,
017900,광전자,KOSPI,8910,14.08,16578036,150811243465,516278928330,0,0,0,0,,
079550,LIG디펜스앤에어로스페이스,KOSPI,823000,11.07,184074,150662097500,18106000000000,0,0,0,0,,
034020,두산에너빌리티,KOSPI,79900,3.63,1894842,149385022650,51180835565400,0,0,0,0,,
477850,마키나락스,KOSDAQ,32850,13.08,4342968,141686389875,583243077600,0,0,0,0,,
240810,원익IPS,KOSDAQ GLOBAL,98400,11.44,1435170,138148070400,4829855858400,0,0,0,0,,
006340,대원전선,KOSPI,14950,8.41,9453354,137085952990,1172295519200,0,0,0,0,,
055550,신한지주,KOSPI,106400,-3.27,1143341,120830484800,49949505429600,0,0,0,0,,
347850,디앤디파마텍,KOSDAQ,65700,14.26,1894122,120786251450,3011530911300,0,0,0,0,,
042700,한미반도체,KOSPI,205500,6.86,591703,120282603650,19586657100000,0,0,0,0,,
475150,SK이터닉스,KOSPI,51300,1.58,2358344,120140196950,1747637305200,0,0,0,0,,
062040,산일전기,KOSPI,183800,16.85,659770,119684193600,5632155830000,0,0,0,0,,
105560,KB금융,KOSPI,171700,-2.33,690184,117909188450,60899883927800,0,0,0,0,,
086520,에코프로,KOSDAQ GLOBAL,93500,8.72,1271412,115666566450,12695070212000,0,0,0,0,,
043260,성호전자,KOSDAQ,20650,19.99,5763409,114744184020,1481467612450,0,0,0,0,,
086790,하나금융지주,KOSPI,130400,-3.19,841758,109783763650,35777554339200,0,0,0,0,,
222800,심텍,KOSDAQ GLOBAL,115900,5.36,941623,109172398850,4342069602900,0,0,0,0,,
068270,셀트리온,KOSPI,201000,0.85,533999,106489013650,46743294906000,0,0,0,0,,
298040,효성중공업,KOSPI,2934000,3.6,34852,102295481000,27358223832000,0,0,0,0,,
214450,파마리서치,KOSDAQ GLOBAL,410000,8.32,243489,97715508250,4259755680000,0,0,0,0,,
047040,대우건설,KOSPI,17030,3.78,5739510,96993152355,6997757075140,0,0,0,0,,
012330,현대모비스,KOSPI,505000,1.71,192945,96472051500,45819954415000,0,0,0,0,,
096770,SK이노베이션,KOSPI,124500,3.49,795636,96215805550,21047072106000,0,0,0,0,,
000270,기아,KOSPI,135500,0.44,703951,94909146830,52900961229000,0,0,0,0,,
042660,한화오션,KOSPI,94400,5.59,1011416,93719467200,28925424393600,0,0,0,0,,
017670,SK텔레콤,KOSPI,85000,-3.63,1091311,92820551600,18257154505000,0,0,0,0,,
032830,삼성생명,KOSPI,280500,1.81,330280,92472440862,56100000000000,0,0,0,0,,
095610,테스,KOSDAQ GLOBAL,142600,14.45,644657,91228595550,2760736000000,0,0,0,0,,
011070,LG이노텍,KOSPI,555000,0.54,163865,91093694000,13135244385000,0,0,0,0,,
005490,POSCO홀딩스,KOSPI,336000,1.51,272691,90539281000,26625153072000,0,0,0,0,,
373220,LG에너지솔루션,KOSPI,367500,2.08,247517,89695642500,85995000000000,0,0,0,0,,
353200,대덕전자,KOSPI,107600,3.66,816589,88930785200,5317261130000,0,0,0,0,,
267260,HD현대일렉트릭,KOSPI,764000,0.26,115016,87693669000,27540011140000,0,0,0,0,,
950160,코오롱티슈진,KOSDAQ,19330,9.46,4463304,86517086155,1642473192800,0,0,0,0,,
003010,혜인,KOSPI,5930,0.34,7681987,48017975340,75386589710,0,0,0,0,,
011330,유니켐,KOSPI,5750,-2.71,4920578,30729613495,51858002250,0,0,0,0,,
008830,대동기어,KOSDAQ,6300,7.69,4174727,27087885365,56621376000,0,0,0,0,,
162300,신스틸,KOSDAQ,1986,7.24,13153739,27010240609,82362164652,0,0,0,0,,
062970,한국첨단소재,KOSDAQ,3015,-0.17,8656482,27091722428,86061085605,0,0,0,0,,
463020,뉴엔AI,KOSDAQ,12000,1.27,2353639,29652156675,107846400000,0,0,0,0,,
457370,한켐,KOSDAQ,7560,7.85,2149617,16273093875,60987533040,0,0,0,0,,
053260,금강철강,KOSDAQ,5820,9.4,4699020,28892491680,108950400000,0,0,0,0,,
