Code,Name,Total_Score,Sell_Score,Score_Momentum,Score_Supply,Score_Volume,Score_MA,Score_Candle,Close,ChagesRatio,Amount,Sector,Sector_Mult,Vol_Penalty,Market_Penalty,Market_Condition
096770,SK이노베이션,45.7,0.0,18.8,15.0,3.1,13.0,15.0,124500.0,3.49,36005643000,에너지,1.1,0.8,0.8,중립 (1d:3.8% 3d:1.2% 5d:8.3%) | ⚡극단변동성(σ=6.8%)
068270,셀트리온,44.5,0.0,18.0,15.0,2.5,11.0,12.0,201000.0,0.85,34280305000,바이오,1.0,0.95,0.8,중립 (1d:3.8% 3d:1.2% 5d:8.3%) | ⚡극단변동성(σ=6.8%)
162300,신스틸,41.9,25.0,15.4,15.0,14.0,6.0,15.0,1986.0,7.24,4593782640,금속,1.0,0.8,0.8,중립 (1d:3.8% 3d:1.2% 5d:8.3%) | ⚡극단변동성(σ=6.8%)
373220,LG에너지솔루션,41.7,0.0,20.0,15.0,1.2,8.0,15.0,367500.0,2.08,20460864000,에너지,1.1,0.8,0.8,중립 (1d:3.8% 3d:1.2% 5d:8.3%) | ⚡극단변동성(σ=6.8%)
009830,한화솔루션,40.4,25.0,18.5,15.0,8.6,6.0,15.0,35250.0,3.98,171452114400,화학,1.0,0.8,0.8,중립 (1d:3.8% 3d:1.2% 5d:8.3%) | ⚡극단변동성(σ=6.8%)
003010,혜인,40.3,25.0,16.0,15.0,14.0,6.0,12.0,5930.0,0.34,32394836120,내수,1.0,0.8,0.8,중립 (1d:3.8% 3d:1.2% 5d:8.3%) | ⚡극단변동성(σ=6.8%)
000490,대동,39.4,15.0,16.0,15.0,12.5,6.0,12.0,7800.0,15.9,4283172520,기계·장비,1.0,0.8,0.8,중립 (1d:3.8% 3d:1.2% 5d:8.3%) | ⚡극단변동성(σ=6.8%)
006340,대원전선,38.0,15.0,16.3,15.0,6.1,7.0,15.0,14950.0,8.41,175886338080,전기·전자,1.0,0.8,0.8,중립 (1d:3.8% 3d:1.2% 5d:8.3%) | ⚡극단변동성(σ=6.8%)
047040,대우건설,37.3,0.0,18.6,15.0,1.6,8.0,15.0,17030.0,3.78,31583266550,건설,1.0,0.8,0.8,중립 (1d:3.8% 3d:1.2% 5d:8.3%) | ⚡극단변동성(σ=6.8%)
457370,한켐,37.2,0.0,16.6,15.0,3.5,8.0,15.0,7560.0,7.85,702633200,화학,1.0,0.8,0.8,중립 (1d:3.8% 3d:1.2% 5d:8.3%) | ⚡극단변동성(σ=6.8%)
006360,GS건설,36.0,15.0,16.0,15.0,4.3,6.0,15.0,34900.0,10.27,59465847000,건설,1.0,0.8,0.8,중립 (1d:3.8% 3d:1.2% 5d:8.3%) | ⚡극단변동성(σ=6.8%)
214450,파마리서치,35.9,15.0,16.3,15.0,2.7,7.0,15.0,410000.0,8.32,33501960000,바이오,1.0,0.8,0.8,중립 (1d:3.8% 3d:1.2% 5d:8.3%) | ⚡극단변동성(σ=6.8%)
196170,알테오젠,35.8,25.0,16.0,15.0,4.0,6.0,15.0,348000.0,14.1,72066988500,일반서비스,1.0,0.8,0.8,중립 (1d:3.8% 3d:1.2% 5d:8.3%) | ⚡극단변동성(σ=6.8%)
387690,레메디,35.7,10.0,18.3,15.0,0.5,14.0,8.0,11000.0,4.46,2806594500,의료·정밀기기,1.0,0.8,0.8,중립 (1d:3.8% 3d:1.2% 5d:8.3%) | ⚡극단변동성(σ=6.8%)
460940,피앤에스로보틱스,35.7,15.0,16.0,15.0,3.8,6.0,15.0,5830.0,12.98,760821380,의료·정밀기기,1.0,0.8,0.8,중립 (1d:3.8% 3d:1.2% 5d:8.3%) | ⚡극단변동성(σ=6.8%)
475430,키스트론,35.5,0.0,16.4,15.0,1.0,8.0,15.0,4535.0,8.23,209449920,전기·전자,1.0,0.8,0.8,중립 (1d:3.8% 3d:1.2% 5d:8.3%) | ⚡극단변동성(σ=6.8%)
365660,레몬헬스케어,35.4,0.0,17.3,15.0,1.1,10.0,12.0,6170.0,0.82,8942424420,바이오,1.0,0.8,0.8,중립 (1d:3.8% 3d:1.2% 5d:8.3%) | ⚡극단변동성(σ=6.8%)
010170,대한광통신,35.1,25.0,16.0,15.0,3.2,4.0,15.0,14040.0,22.51,104927167800,통신,1.03,0.8,0.8,중립 (1d:3.8% 3d:1.2% 5d:8.3%) | ⚡극단변동성(σ=6.8%)
017900,광전자,34.9,25.0,16.0,15.0,2.5,6.0,15.0,8910.0,14.08,14969578470,전기·전자,1.0,0.8,0.8,중립 (1d:3.8% 3d:1.2% 5d:8.3%) | ⚡극단변동성(σ=6.8%)
353200,대덕전자,34.9,0.0,18.7,15.0,0.9,5.0,15.0,107600.0,3.66,14263449200,전기·전자,1.0,0.8,0.8,중립 (1d:3.8% 3d:1.2% 5d:8.3%) | ⚡극단변동성(σ=6.8%)
036930,주성엔지니어링,34.9,0.0,16.0,15.0,3.5,8.0,12.0,144800.0,13.3,181150201800,기계·장비,1.0,0.8,0.8,중립 (1d:3.8% 3d:1.2% 5d:8.3%) | ⚡극단변동성(σ=6.8%)
069540,빛과전자,34.7,25.0,18.7,15.0,1.5,4.0,15.0,3115.0,3.66,10383843610,전기·전자,1.0,0.8,0.8,중립 (1d:3.8% 3d:1.2% 5d:8.3%) | ⚡극단변동성(σ=6.8%)
222800,심텍,34.5,25.0,17.8,15.0,3.1,6.0,12.0,115900.0,5.36,31868981100,전기·전자,1.0,0.8,0.8,중립 (1d:3.8% 3d:1.2% 5d:8.3%) | ⚡극단변동성(σ=6.8%)
347850,디앤디파마텍,34.3,0.0,11.9,15.0,1.7,10.0,15.0,65700.0,14.26,33150282000,일반서비스,1.0,0.8,0.8,중립 (1d:3.8% 3d:1.2% 5d:8.3%) | ⚡극단변동성(σ=6.8%)
095610,테스,34.3,0.0,16.0,15.0,2.6,8.0,12.0,142600.0,14.45,24589993000,기계·장비,1.0,0.8,0.8,중립 (1d:3.8% 3d:1.2% 5d:8.3%) | ⚡극단변동성(σ=6.8%)
000270,기아,34.0,0.0,15.4,15.0,0.7,10.0,12.0,135500.0,0.44,14610201300,자동차,1.0,0.8,0.8,중립 (1d:3.8% 3d:1.2% 5d:8.3%) | ⚡극단변동성(σ=6.8%)
067290,JW신약,33.9,15.0,20.0,15.0,2.9,7.0,8.0,2225.0,2.06,13200467280,바이오,1.0,0.8,0.8,중립 (1d:3.8% 3d:1.2% 5d:8.3%) | ⚡극단변동성(σ=6.8%)
062040,산일전기,33.7,15.0,16.0,15.0,2.6,4.0,15.0,183800.0,16.85,18285106000,전기·전자,1.0,0.8,0.8,중립 (1d:3.8% 3d:1.2% 5d:8.3%) | ⚡극단변동성(σ=6.8%)
950160,코오롱티슈진,33.5,0.0,16.0,15.0,1.4,5.0,15.0,19330.0,9.46,16794388600,기타,1.0,0.8,0.8,중립 (1d:3.8% 3d:1.2% 5d:8.3%) | ⚡극단변동성(σ=6.8%)
321370,센서뷰,33.4,15.0,16.0,15.0,2.2,4.0,15.0,1513.0,17.65,2606976083,전기·전자,1.0,0.8,0.8,중립 (1d:3.8% 3d:1.2% 5d:8.3%) | ⚡극단변동성(σ=6.8%)
