rl,rh,vm,am,tp,tc,uv,um,trades,win_rate,avg_pnl,profit_factor,total_pnl,avg_hold
35,65,1.5,2.0,0.7,30,True,False,13.3,67.5,0.195,1.28,7.79,5.4
30,70,1.5,2.0,0.7,30,True,False,16.0,66.7,0.184,1.28,8.83,6.1
30,70,1.5,2.0,0.7,40,True,False,16.0,66.7,0.134,1.19,6.43,6.1
35,65,1.5,2.0,0.7,40,True,False,13.3,67.5,0.135,1.18,5.4,5.4
35,65,1.5,2.0,1.5,30,True,False,12.7,55.3,0.104,1.12,3.95,6.6
35,65,1.5,2.0,1.0,30,True,False,13.0,61.5,0.065,1.07,2.54,5.8
35,65,1.5,2.0,1.5,40,True,False,12.7,55.3,0.041,1.04,1.55,6.6
35,65,1.5,1.5,1.0,40,True,False,13.0,56.4,0.005,1.01,0.2,3.4
35,65,1.5,1.5,1.0,30,True,False,13.0,56.4,0.005,1.01,0.2,3.4
30,70,1.5,2.0,1.0,30,True,False,15.7,57.4,-0.001,1.0,-0.05,6.7
35,65,1.5,2.0,1.0,40,True,False,13.0,61.5,0.004,1.0,0.15,5.8
35,65,1.5,1.5,0.7,30,True,False,13.3,57.5,-0.037,0.96,-1.46,3.1
35,65,1.5,1.5,0.7,40,True,False,13.3,57.5,-0.037,0.96,-1.46,3.1
30,70,1.5,2.0,1.0,40,True,False,15.7,57.4,-0.052,0.94,-2.45,6.7
30,70,1.5,2.0,1.5,30,True,False,15.0,48.9,-0.057,0.94,-2.55,7.5
35,65,1.5,1.5,1.5,40,True,False,12.7,50.0,-0.077,0.91,-2.93,3.7
35,65,1.5,1.5,1.5,30,True,False,12.7,50.0,-0.077,0.91,-2.93,3.7
30,70,1.5,2.0,1.5,40,True,False,15.0,48.9,-0.11,0.89,-4.94,7.5
30,70,1.5,1.5,1.0,30,True,False,15.7,53.2,-0.175,0.8,-8.21,3.8
30,70,1.5,1.5,1.0,40,True,False,15.7,53.2,-0.175,0.8,-8.21,3.8
30,70,1.5,1.5,0.7,30,True,False,16.0,54.2,-0.206,0.77,-9.87,3.6
30,70,1.5,1.5,0.7,40,True,False,16.0,54.2,-0.206,0.77,-9.87,3.6
30,70,1.5,1.5,1.5,30,True,False,15.0,46.7,-0.256,0.73,-11.51,4.2
30,70,1.5,1.5,1.5,40,True,False,15.0,46.7,-0.256,0.73,-11.51,4.2
