날짜,KOSPI종가,일간등락(%),고저폭(%),10일σ(%),20일σ(%),누적수익,매도사이드카추정,매수사이드카추정,극단변동일
2026-01-02,4309.63,2.27,,,,0.02,False,False,False
2026-01-05,4457.52,3.43,1.75,,,0.06,False,True,False
2026-01-06,4525.48,1.52,2.93,,,0.07,False,False,False
2026-01-07,4551.06,0.57,2.73,,,0.08,False,False,False
2026-01-08,4552.37,0.03,2.08,,,0.08,False,False,False
2026-01-09,4586.32,0.75,1.97,,,0.09,False,False,False
2026-01-12,4624.79,0.84,1.85,,,0.1,False,False,False
2026-01-13,4692.64,1.47,1.11,,,0.11,False,False,False
2026-01-14,4723.1,0.65,1.15,,,0.12,False,False,False
2026-01-15,4797.55,1.58,1.95,0.98,,0.14,False,False,False
2026-01-16,4840.74,0.9,1.21,0.93,,0.15,False,False,False
2026-01-19,4904.66,1.32,1.85,0.5,,0.16,False,False,False
2026-01-20,4885.75,-0.39,2.28,0.62,,0.16,False,False,False
2026-01-21,4909.93,0.49,2.12,0.62,,0.17,False,False,False
2026-01-22,4952.53,0.87,1.74,0.56,,0.18,False,False,False
2026-01-23,4990.07,0.76,1.92,0.56,,0.18,False,False,False
2026-01-26,4949.59,-0.81,1.66,0.77,,0.17,False,False,False
2026-01-27,5084.85,2.73,3.92,0.99,,0.21,False,False,False
2026-01-28,5170.81,1.69,1.15,1.02,,0.23,False,False,False
2026-01-29,5221.25,0.98,3.47,1.0,0.99,0.24,False,False,False
2026-01-30,5224.36,0.06,2.33,1.03,0.97,0.24,False,False,False
2026-02-02,4949.67,-5.26,5.04,2.14,1.57,0.17,True,True,True
2026-02-03,5288.08,6.84,3.77,3.0,2.11,0.26,False,True,False
2026-02-04,5371.1,1.57,2.53,3.01,2.11,0.27,False,False,False
2026-02-05,5163.57,-3.86,3.02,3.37,2.36,0.23,True,False,False
2026-02-06,5089.14,-1.44,4.29,3.42,2.4,0.21,False,False,True
2026-02-09,5298.04,4.1,1.13,3.6,2.53,0.26,False,True,False
2026-02-10,5301.69,0.07,1.45,3.53,2.53,0.26,False,False,False
2026-02-11,5354.49,1.0,2.2,3.51,2.53,0.27,False,False,False
2026-02-12,5522.27,3.13,2.29,3.62,2.58,0.31,False,True,False
2026-02-13,5507.01,-0.28,1.86,3.62,2.59,0.31,False,False,False
2026-02-19,5677.25,3.09,1.21,3.04,2.65,0.35,False,True,False
2026-02-20,5808.53,2.31,2.21,2.42,2.65,0.38,False,False,False
2026-02-23,5846.09,0.65,2.4,2.41,2.65,0.39,False,False,False
2026-02-24,5969.64,2.11,3.32,1.76,2.67,0.42,False,False,False
2026-02-25,6083.86,1.91,2.69,1.43,2.67,0.44,False,False,False
2026-02-26,6307.27,3.67,3.38,1.36,2.7,0.5,False,True,False
2026-02-27,6244.13,-1.0,3.07,1.54,2.72,0.48,False,False,False
2026-03-03,5791.91,-7.24,6.23,3.22,3.29,0.37,True,True,True
2026-03-04,5093.54,-12.06,10.58,5.07,4.34,0.21,True,True,True
2026-03-05,5583.9,9.63,9.17,6.03,4.85,0.33,True,True,True
2026-03-06,5584.87,0.02,4.1,5.95,4.66,0.33,False,False,True
2026-03-09,5251.87,-5.96,4.14,6.17,4.65,0.25,True,False,True
2026-03-10,5532.59,5.35,3.2,6.46,4.79,0.31,False,True,False
2026-03-11,5609.95,1.4,3.37,6.44,4.7,0.33,False,False,False
2026-03-12,5583.25,-0.48,1.81,6.39,4.68,0.33,False,False,False
2026-03-13,5487.24,-1.72,2.6,6.2,4.63,0.3,False,False,False
2026-03-16,5549.85,1.14,2.05,6.25,4.63,0.32,False,False,False
2026-03-17,5640.48,1.63,1.52,5.88,4.64,0.34,False,False,False
2026-03-18,5925.03,5.04,2.98,4.29,4.72,0.41,False,True,False
2026-03-19,5763.22,-2.73,2.1,3.41,4.77,0.37,False,False,False
2026-03-20,5781.2,0.31,1.2,3.41,4.73,0.37,False,False,False
2026-03-23,5405.75,-6.49,3.15,3.52,4.92,0.28,True,False,False
2026-03-24,5553.92,2.74,4.58,3.19,4.97,0.32,False,False,True
2026-03-25,5642.21,1.59,2.0,3.2,4.96,0.34,False,False,False
2026-03-26,5460.46,-3.22,2.66,3.37,4.98,0.3,True,False,False
2026-03-27,5438.87,-0.4,4.44,3.33,4.88,0.29,False,False,True
2026-03-30,5277.3,-2.97,2.69,3.42,4.91,0.25,False,False,False
2026-03-31,5052.46,-4.26,3.62,3.52,4.74,0.2,True,False,False
