Code,Name,Total_Score,Score_Momentum,Score_Supply,Score_Volume,Score_MA,Score_Candle,Close,ChagesRatio
055550,신한지주,85.0,20.0,15.0,20.0,15.0,15.0,107500.0,7.39
105560,KB금융,84.0,19.0,15.0,20.0,15.0,15.0,171600.0,4.51
240810,원익IPS,77.6,18.6,15.0,20.0,12.0,12.0,132700.0,4.32
090360,로보스타,74.0,20.0,15.0,20.0,11.0,8.0,148100.0,6.39
403870,HPSP,72.0,20.0,15.0,20.0,9.0,8.0,50300.0,5.89
009150,삼성전기,58.3,14.8,15.0,13.5,3.0,12.0,1757000.0,2.39
005380,현대차,53.2,10.0,15.0,6.2,7.0,15.0,700000.0,0.0
128940,한미약품,53.0,11.0,15.0,20.0,7.0,0.0,494000.0,0.51
011070,LG이노텍,50.5,7.8,15.0,16.7,3.0,8.0,1160000.0,-1.11
043260,성호전자,50.1,0.0,15.0,18.1,9.0,8.0,48800.0,-5.06
307950,현대오토에버,49.5,9.3,15.0,7.2,3.0,15.0,836000.0,-0.36
454910,두산로보틱스,49.0,0.0,15.0,16.0,3.0,15.0,140300.0,-11.15
329180,HD현대중공업,46.8,14.0,15.0,5.8,0.0,12.0,664000.0,2.0
035420,NAVER,46.8,1.0,15.0,12.8,3.0,15.0,255500.0,-4.49
000150,두산,45.2,3.3,15.0,11.8,7.0,8.0,1740000.0,-3.33
000810,삼성화재,42.7,0.4,15.0,16.3,11.0,0.0,695000.0,-4.79
036930,주성엔지니어링,39.7,0.0,15.0,9.7,15.0,0.0,210000.0,-16.17
012330,현대모비스,38.6,0.0,15.0,8.6,7.0,8.0,697000.0,-6.82
017670,SK텔레콤,38.5,5.4,15.0,11.1,7.0,0.0,106400.0,-2.3
066570,LG전자,33.7,0.0,15.0,15.7,3.0,0.0,303000.0,-7.62
064400,LG씨엔에스,33.6,0.0,15.0,7.6,3.0,8.0,117500.0,-7.04
028260,삼성물산,32.3,0.0,15.0,10.3,7.0,0.0,460500.0,-13.93
005930,삼성전자,31.7,0.0,15.0,9.7,7.0,0.0,329000.0,-6.4
000660,SK하이닉스,31.2,0.0,15.0,9.2,7.0,0.0,2070000.0,-9.92
402340,SK스퀘어,30.6,0.0,15.0,8.6,7.0,0.0,1258000.0,-7.57
439960,코스모로보틱스,26.1,5.9,15.0,5.2,0.0,0.0,28450.0,-2.07
034020,두산에너빌리티,24.7,2.7,15.0,7.0,0.0,0.0,95600.0,-3.63
042700,한미반도체,21.0,0.0,15.0,6.0,0.0,0.0,283000.0,-6.91
006400,삼성SDI,20.7,0.0,15.0,5.7,0.0,0.0,568000.0,-6.43
001440,대한전선,17.9,0.0,15.0,2.9,0.0,0.0,39950.0,-5.67
