Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId,lateInfoMsgCd
005930,KR7005930003,삼성전자,KOSPI,,248500,2,-500,-0.2,248000,252000,246000,11435506,2849221682500,1452800234088000,5846278608,STK,ME005
000660,KR7000660001,SK하이닉스,KOSPI,,1690000,2,-7000,-0.41,1690000,1729000,1671000,2732031,4647356240500,1234532096850000,730492365,STK,ME005
402340,KR7402340004,SK스퀘어,KOSPI,,1000000,3,0,0.0,997000,1022000,994000,366583,368634270500,131923998000000,131923998,STK,ME005
009150,KR7009150004,삼성전기,KOSPI,,1317000,2,-20000,-1.5,1311000,1354000,1307000,313138,415731774500,98371597632000,74693696,STK,ME005
373220,KR7373220003,LG에너지솔루션,KOSPI,,365500,1,14000,3.98,350000,371500,347500,337242,122412326000,85527000000000,234000000,STK,ME005
005380,KR7005380001,현대차,KOSPI,,367000,2,-4500,-1.21,366500,374500,366000,287552,106352338500,75146100122000,204757766,STK,ME005
207940,KR7207940008,삼성바이오로직스,KOSPI,,1412000,2,-8000,-0.56,1406000,1428000,1403000,25131,35539455500,65362822812000,46290951,STK,ME005
105560,KR7105560007,KB금융,KOSPI,,175800,2,-5800,-3.19,178600,179900,175300,1159382,205407915150,62354103637200,354687734,STK,ME005
032830,KR7032830002,삼성생명,KOSPI,,285500,2,-12500,-4.19,291000,297000,285000,329258,95062979250,57100000000000,200000000,STK,ME005
028260,KR7028260008,삼성물산,KOSPI,,347000,2,-11500,-3.21,351500,357500,344500,281242,98550439000,56272150607000,162167581,STK,ME005
034020,KR7034020008,두산에너빌리티,KOSPI,,86200,2,-800,-0.92,86200,86800,84200,2201303,188841018050,55216370785200,640561146,STK,ME005
012450,KR7012450003,한화에어로스페이스,KOSPI,,1063000,2,-74000,-6.51,1106000,1128000,1054000,161277,172649685500,54811895263000,51563401,STK,ME005
055550,KR7055550008,신한지주,KOSPI,,112200,2,-2400,-2.09,112900,113800,111600,878720,98913065966,52672316815800,469450239,STK,ME005
329180,KR7329180004,HD현대중공업,KOSPI,,453500,2,-25500,-5.32,471500,473000,447000,302628,137995563500,47599915537500,104961225,STK,ME005
000270,KR7000270009,기아,KOSPI,,121800,2,-2400,-1.93,123400,124100,121700,479923,58888553400,47552303156400,390412998,STK,ME005
006400,KR7006400006,삼성SDI,KOSPI,,547000,1,15000,2.82,539000,559000,531000,404777,221775322000,44080284910000,80585530,STK,ME005
068270,KR7068270008,셀트리온,KOSPI,,177500,2,-1300,-0.73,177700,180300,177300,205209,36650583850,41289548740000,232617176,STK,ME005
034730,KR7034730002,SK,KOSPI,,550000,2,-20000,-3.51,557000,567000,546000,87020,48397328500,39876486650000,72502703,STK,ME005
086790,KR7086790003,하나금융지주,KOSPI,,137600,2,-3200,-2.27,138700,139900,136700,567306,78392857400,37285459616000,270969910,STK,ME005
012330,KR7012330007,현대모비스,KOSPI,,394500,2,-5500,-1.38,393000,404000,392000,245508,97698333430,35434220782500,89820585,STK,ME005
066570,KR7066570003,LG전자,KOSPI,,202000,1,3800,1.92,198100,203500,196000,454680,91644310000,32902696876000,162884638,STK,ME005
035420,KR7035420009,NAVER,KOSPI,,206000,1,2000,0.98,204500,208500,203500,374601,77217911750,31331440014000,152094369,STK,ME005
000810,KR7000810002,삼성화재,KOSPI,,661000,2,-14000,-2.07,663000,684000,658000,107123,71384805500,29511979653000,44647473,STK,ME005
010120,KR7010120004,LS ELECTRIC,KOSPI,,194700,2,-4600,-2.31,197700,198500,193800,449040,87769454500,29205000000000,150000000,STK,ME005
316140,KR7316140003,우리금융지주,KOSPI,,36350,2,-500,-1.36,36350,36750,35750,2732382,99202788275,26782191346950,736786557,STK,ME005
005490,KR7005490008,POSCO홀딩스,KOSPI,,332000,1,6000,1.84,322500,335500,321500,250543,83055272250,26308186964000,79241527,STK,ME005
042660,KR7042660001,한화오션,KOSPI,,82400,2,-3500,-4.07,84500,84500,81900,780715,64795974450,25248463665600,306413394,STK,ME005
267260,KR7267260008,HD현대일렉트릭,KOSPI,,700000,2,-39000,-5.28,720000,729000,698000,136400,96385424000,25232994500000,36047135,STK,ME005
298040,KR7298040007,효성중공업,KOSPI,,2689000,2,-114000,-4.07,2778000,2789000,2680000,42458,115057561500,25073709572000,9324548,STK,ME005
009540,KR7009540006,HD한국조선해양,KOSPI,,339000,2,-24500,-6.74,355000,356000,333500,164658,56174182000,23992086324000,70773116,STK,ME005
096770,KR7096770003,SK이노베이션,KOSPI,,141700,1,5000,3.66,139500,144100,138200,963255,136621020900,23954780059600,169052788,STK,ME005
010130,KR7010130003,고려아연,KOSPI,,1138000,2,-25000,-2.15,1147000,1149000,1125000,12767,14509698000,23753438722000,20872969,STK,ME005
042700,KR7042700005,한미반도체,KOSPI,,222500,2,-2500,-1.11,228500,229000,219500,529125,118417823500,21206964500000,95312200,STK,ME005
000150,KR7000150003,두산,KOSPI,,1289000,1,34000,2.71,1251000,1319000,1232000,56972,73413783000,20873853315000,16193835,STK,ME005
015760,KR7015760002,한국전력,KOSPI,,31350,2,-600,-1.88,31600,31650,31100,1232101,38651541425,20125573813950,641964077,STK,ME005
011200,KR7011200003,HMM,KOSPI,,20650,2,-600,-2.82,20850,21050,20550,670391,13903207275,19477864080500,943237970,STK,ME005
051910,KR7051910008,LG화학,KOSPI,,271500,1,3500,1.31,267500,275500,265000,180447,49031186250,19165821124500,70592343,STK,ME005
017670,KR7017670001,SK텔레콤,KOSPI,,88000,2,-2100,-2.33,89000,90000,87800,803025,71192728250,18901524664000,214790053,STK,ME005
010140,KR7010140002,삼성중공업,KOSPI,,20700,2,-1400,-6.33,21850,21850,20650,4014857,84561006300,18216000000000,880000000,STK,ME005
267250,KR7267250009,HD현대,KOSPI,,225000,2,-21500,-8.72,239500,244500,224000,162139,37126245117,17773444125000,78993085,STK,ME005
033780,KR7033780008,KT&G,KOSPI,,170800,2,-2300,-1.33,171100,172700,169500,153855,26260371500,17730825884800,103810456,STK,ME005
006800,KR7006800007,미래에셋증권,KOSPI,,32050,2,-1100,-3.32,32750,33000,31850,765573,24777335700,17403824684550,543021051,STK,ME005
003550,KR7003550001,LG,KOSPI,,114300,1,1100,0.97,111900,116700,111700,247684,28468947150,17281246057200,151192004,STK,ME005
018260,KR7018260000,삼성에스디에스,KOSPI,,220500,1,2000,0.92,217000,224500,216500,110302,24442073250,17061804900000,77377800,STK,ME005
003670,KR7003670007,포스코퓨처엠,KOSPI,,189300,1,10400,5.81,180100,192800,177300,411846,77340890050,16837519446000,88946220,STK,ME005
010950,KR7010950004,S-Oil,KOSPI,,148700,1,100,0.07,145700,151200,145000,346265,51425832200,16741061170400,112582792,STK,ME005
024110,KR7024110009,기업은행,KOSPI,,20350,2,-550,-2.63,20700,20750,20350,707951,14490626500,16227616434150,797425869,STK,ME005
086280,KR7086280005,현대글로비스,KOSPI,,204500,2,-2500,-1.21,203000,207000,202500,75455,15411545250,15337500000000,75000000,STK,ME005
035720,KR7035720002,카카오,KOSPI,,34500,2,-150,-0.43,34150,34850,34150,686046,23709402775,15283496653500,442999903,STK,ME005
079550,KR7079550000,LIG디펜스앤에어로스페이스,KOSPI,,671000,2,-34000,-4.82,693000,693000,656000,86001,57302761000,14762000000000,22000000,STK,ME005
