Code,Name,Market,Close,ChagesRatio,Volume,Amount,Marcap,Foreign_Net,Institutional_Net,Program_Net,Total_Combined_Net,FDR_Sector,FDR_Industry
000660,SK하이닉스,KOSPI,1793000.0,0.56,4119139.0,7385616227000.0,1309772800000000.0,97545,-14560,0,82985,,
005930,삼성전자,KOSPI,269500.0,-0.19,22563172.0,6080774854000.0,1575572100000000.0,3332528,2406250,0,5738778,,
069500,KODEX 200,KOSPI,110335.0,-0.44,26882196.0,2966047095660.0,25619800000000.0,-9559,528406,0,518847,,
122630,KODEX 레버리지,KOSPI,112150.0,-0.79,17364369.0,1947413983350.0,6229900000000.0,38933,574538,0,613471,,
102110,TIGER 200,KOSPI,110660.0,-0.33,14503098.0,1604912824680.0,10357800000000.0,65079,51950,0,117029,,
133690,TIGER 미국나스닥100,KOSPI,176020.0,0.06,5544019.0,975858224380.0,11409600000000.0,-279152,224326,0,-54826,,
386380,스카이랩스,KOSDAQ,29750.0,-2.62,32322352.0,961589972000.0,558200000000.0,25349,-233433,0,-208084,,
360750,TIGER 미국S&P500,KOSPI,25660.0,0.0,35613871.0,913851929860.0,20182900000000.0,-546110,-266473,0,-812583,,
009150,삼성전기,KOSPI,1370000.0,-5.78,662079.0,907048230000.0,102330400000000.0,-216806,-88245,0,-305051,,
114800,KODEX 인버스,KOSPI,994.0,0.51,861620500.0,856450777000.0,670800000000.0,15709247,-23409112,0,-7699865,,
459580,KODEX CD금리액티브(합성),KOSPI,1074120.0,0.01,740405.0,795283818600.0,6532800000000.0,-13,-6255,0,-6268,,
402340,SK스퀘어,KOSPI,1131000.0,0.53,560679.0,634127949000.0,149206000000000.0,94072,49731,0,143803,,
379810,KODEX 미국나스닥100,KOSPI,26315.0,0.06,21851487.0,575021880405.0,9053700000000.0,-47009,-84725,0,-131734,,
047040,대우건설,KOSPI,19970.0,8.47,26835543.0,535905793710.0,8205800000000.0,1578488,1598921,0,3177409,,
034020,두산에너빌리티,KOSPI,89500.0,1.82,5754041.0,514986669500.0,57330200000000.0,-226972,1331885,0,1104913,,
379800,KODEX 미국S&P500,KOSPI,23330.0,0.04,21530142.0,502298212860.0,9994600000000.0,23343,-512056,0,-488713,,
036930,주성엔지니어링,KOSDAQ,194600.0,3.95,2525657.0,491492852200.0,9045200000000.0,312511,60865,0,373376,,
396500,TIGER 반도체TOP10,KOSPI,37230.0,0.43,13111357.0,488135821110.0,9934800000000.0,355679,16918,0,372597,,
233740,KODEX 코스닥150레버리지,KOSPI,6570.0,-4.78,59514902.0,391012906140.0,3387500000000.0,-1770893,1595484,0,-175409,,
004310,현대약품,KOSPI,10440.0,23.99,31962413.0,333687591720.0,334100000000.0,93077,1586,0,94663,,
494310,KODEX 반도체레버리지,KOSPI,81905.0,0.02,3988700.0,326694473500.0,1027900000000.0,38967,88648,0,127615,,
229200,KODEX 코스닥150,KOSPI,13690.0,-2.42,23542681.0,322299302890.0,4623800000000.0,-177246,-355917,0,-533163,,
052690,한전기술,KOSPI,142600.0,16.6,2238809.0,319254163400.0,5450200000000.0,-7198,125894,0,118696,,
488080,TIGER 반도체TOP10레버리지,KOSPI,35980.0,0.69,8844789.0,318235508220.0,640400000000.0,4561,-8939,0,-4378,,
252670,KODEX 200선물인버스2X,KOSPI,72.0,0.0,4216082178.0,303557916816.0,624300000000.0,114841069,-397157784,0,-282316715,,
067290,JW신약,KOSDAQ,3890.0,8.66,73244809.0,284922307010.0,218000000000.0,192598,-9295,0,183303,,
091160,KODEX 반도체,KOSPI,131535.0,0.26,1741409.0,229056232815.0,5754700000000.0,6949,23101,0,30050,,
010170,대한광통신,KOSDAQ,13700.0,1.71,16421068.0,224968631600.0,2130200000000.0,-639187,41750,0,-597437,,
395160,KODEX AI반도체TOP2플러스,KOSPI,40775.0,-0.17,5515557.0,224896836675.0,4150900000000.0,2239,270493,0,272732,,
000720,현대건설,KOSPI,131400.0,3.55,1684608.0,221357491200.0,14632100000000.0,-146735,618921,0,472186,,
232080,TIGER 코스닥150,KOSPI,13970.0,-2.41,14460166.0,202008519020.0,1326000000000.0,-33579,72900,0,39321,,
042700,한미반도체,KOSPI,244500.0,1.66,803718.0,196509051000.0,23303800000000.0,212271,93889,0,306160,,
005380,현대차,KOSPI,385000.0,-2.04,482373.0,185713605000.0,78831700000000.0,-126274,-84933,0,-211207,,
