Code,Name,Total_Score,Sell_Score,Score_Momentum,Score_Supply,Score_Volume,Score_MA,Score_Candle,Close,ChagesRatio,Amount,Sector,Sector_Mult,Vol_Penalty,Market_Penalty,Market_Condition
005930,삼성전자,62.2,0.0,18.9,27.5,8.4,11.0,15.0,285500.0,3.25,5553817684500,반도체,0.95,0.9,0.9,약세 (1d:0.4% 3d:1.2% 5d:-3.1%)
096770,SK이노베이션,62.0,0.0,16.9,30.0,8.4,11.0,12.0,149200.0,5.82,148595910000,에너지,1.1,0.8,0.9,약세 (1d:0.4% 3d:1.2% 5d:-3.1%)
007660,이수페타시스,61.3,0.0,17.8,30.0,9.3,13.0,15.0,118900.0,5.31,110772679200,전기·전자,1.0,0.8,0.9,약세 (1d:0.4% 3d:1.2% 5d:-3.1%)
353200,대덕전자,59.9,0.0,17.3,30.0,11.9,12.0,12.0,119400.0,6.32,188146710400,전기·전자,1.0,0.8,0.9,약세 (1d:0.4% 3d:1.2% 5d:-3.1%)
103590,일진전기,59.4,0.0,15.6,30.0,14.0,11.0,12.0,81700.0,6.8,81762290200,전기·전자,1.0,0.8,0.9,약세 (1d:0.4% 3d:1.2% 5d:-3.1%)
440110,파두,59.0,25.0,15.0,30.0,17.0,8.0,12.0,81600.0,12.86,104101808800,전기·전자,1.0,0.8,0.9,약세 (1d:0.4% 3d:1.2% 5d:-3.1%)
009830,한화솔루션,58.5,0.0,13.6,30.0,11.6,5.0,12.0,29200.0,6.38,114450142800,화학,1.0,0.9,0.9,약세 (1d:0.4% 3d:1.2% 5d:-3.1%)
446540,메가터치,58.3,15.0,15.0,30.0,17.0,7.0,12.0,10900.0,15.47,38337646050,전기·전자,1.0,0.8,0.9,약세 (1d:0.4% 3d:1.2% 5d:-3.1%)
036930,주성엔지니어링,57.0,0.0,17.2,30.0,6.0,11.0,15.0,209500.0,2.95,183010191500,기계·장비,1.0,0.8,0.9,약세 (1d:0.4% 3d:1.2% 5d:-3.1%)
030530,원익홀딩스,55.8,15.0,15.6,30.0,17.0,7.0,8.0,28300.0,6.79,185925180000,화학,1.0,0.8,0.9,약세 (1d:0.4% 3d:1.2% 5d:-3.1%)
203650,드림시큐리티,55.7,15.0,15.4,30.0,17.0,7.0,8.0,2790.0,3.72,44908522880,IT 서비스,1.0,0.8,0.9,약세 (1d:0.4% 3d:1.2% 5d:-3.1%)
356680,엑스게이트,52.7,15.0,14.3,30.0,14.0,7.0,8.0,18220.0,10.16,326274381840,IT 서비스,1.0,0.8,0.9,약세 (1d:0.4% 3d:1.2% 5d:-3.1%)
058860,KTis,52.3,30.0,14.1,0.0,17.0,15.0,8.0,2575.0,5.1,13062033040,IT 서비스,1.0,1.0,0.9,약세 (1d:0.4% 3d:1.2% 5d:-3.1%)
010060,OCI홀딩스,52.1,0.0,12.2,30.0,13.2,5.0,12.0,206000.0,9.57,89849802000,금융,1.0,0.8,0.9,약세 (1d:0.4% 3d:1.2% 5d:-3.1%)
000150,두산,51.3,15.0,19.7,21.8,7.7,7.0,15.0,1512000.0,2.65,120048600000,전기·전자,1.0,0.8,0.9,약세 (1d:0.4% 3d:1.2% 5d:-3.1%)
072950,빛샘전자,50.7,15.0,11.4,30.0,14.0,7.0,8.0,14200.0,9.23,166745020730,전기·전자,1.0,0.8,0.9,약세 (1d:0.4% 3d:1.2% 5d:-3.1%)
402340,SK스퀘어,50.6,0.0,18.0,24.2,8.1,10.0,10.0,1190000.0,5.03,756184852000,금융,1.0,0.8,0.9,약세 (1d:0.4% 3d:1.2% 5d:-3.1%)
003490,대한항공,49.9,0.0,16.8,30.0,10.3,13.0,5.0,31500.0,0.32,130867096500,항공운송,0.82,0.9,0.9,약세 (1d:0.4% 3d:1.2% 5d:-3.1%)
042700,한미반도체,49.3,0.0,18.6,27.4,5.1,13.0,8.0,243500.0,1.46,89740143000,반도체,0.95,0.8,0.9,약세 (1d:0.4% 3d:1.2% 5d:-3.1%)
222800,심텍,47.3,15.0,18.0,19.6,6.1,7.0,15.0,149500.0,0.95,87360305400,전기·전자,1.0,0.8,0.9,약세 (1d:0.4% 3d:1.2% 5d:-3.1%)
419050,삼기에너지솔루션즈,42.0,45.0,15.0,0.0,17.0,9.0,12.0,1936.0,20.77,68693944536,에너지,1.1,0.8,0.9,약세 (1d:0.4% 3d:1.2% 5d:-3.1%)
012210,삼미금속,40.4,25.0,10.0,30.0,4.1,7.0,5.0,12440.0,-8.12,33578690740,금속,1.0,0.8,0.9,약세 (1d:0.4% 3d:1.2% 5d:-3.1%)
396300,HT로보틱스,40.3,55.0,15.0,0.0,17.0,12.0,12.0,6010.0,29.95,77511306560,금속,1.0,0.8,0.9,약세 (1d:0.4% 3d:1.2% 5d:-3.1%)
093370,후성,38.7,27.4,12.7,0.0,20.0,7.0,8.0,13950.0,2.57,104495661880,화학,1.0,0.9,0.9,약세 (1d:0.4% 3d:1.2% 5d:-3.1%)
009150,삼성전기,37.3,9.6,19.7,10.7,6.4,12.0,3.0,1507000.0,1.41,744632591000,전기·전자,1.0,0.8,0.9,약세 (1d:0.4% 3d:1.2% 5d:-3.1%)
046970,우리로,37.3,45.0,15.9,0.0,14.0,7.0,15.0,7910.0,3.94,91803992430,내수,1.0,0.8,0.9,약세 (1d:0.4% 3d:1.2% 5d:-3.1%)
321370,센서뷰,36.8,55.0,16.2,0.0,14.0,6.0,15.0,1801.0,4.28,47330194236,전기·전자,1.0,0.8,0.9,약세 (1d:0.4% 3d:1.2% 5d:-3.1%)
393210,토마토시스템,36.7,55.0,15.0,0.0,14.0,7.0,15.0,4060.0,22.47,56497133030,IT 서비스,1.0,0.8,0.9,약세 (1d:0.4% 3d:1.2% 5d:-3.1%)
028260,삼성물산,35.4,0.0,15.4,17.6,5.7,5.0,0.0,367000.0,0.0,101600977500,건설,1.0,0.9,0.9,약세 (1d:0.4% 3d:1.2% 5d:-3.1%)
122350,삼기,34.8,30.0,14.3,0.0,15.6,5.0,8.0,1637.0,2.18,14711968656,자동차,1.0,0.9,0.9,약세 (1d:0.4% 3d:1.2% 5d:-3.1%)
115440,우리넷,34.6,55.0,15.0,0.0,14.0,7.0,12.0,12120.0,29.9,85933490640,전기·전자,1.0,0.8,0.9,약세 (1d:0.4% 3d:1.2% 5d:-3.1%)
158430,아톤,33.8,30.0,10.9,0.0,14.0,7.0,15.0,5490.0,2.04,29236278900,IT 서비스,1.0,0.8,0.9,약세 (1d:0.4% 3d:1.2% 5d:-3.1%)
109670,씨싸이트,33.1,55.0,15.0,0.0,14.0,7.0,10.0,9900.0,12.88,10244746800,내수,1.0,0.8,0.9,약세 (1d:0.4% 3d:1.2% 5d:-3.1%)
209640,와이제이링크,32.4,55.0,17.0,0.0,14.0,6.0,8.0,3760.0,1.62,28408977080,기계·장비,1.0,0.8,0.9,약세 (1d:0.4% 3d:1.2% 5d:-3.1%)
478340,나라스페이스테크놀로지,31.7,55.0,15.0,0.0,14.0,7.0,8.0,14190.0,8.9,136699334500,자동차,1.0,0.8,0.9,약세 (1d:0.4% 3d:1.2% 5d:-3.1%)
058470,리노공업,31.6,47.0,15.0,0.0,14.0,10.0,0.0,74300.0,-0.93,111392123200,전기·전자,1.0,0.9,0.9,약세 (1d:0.4% 3d:1.2% 5d:-3.1%)
240810,원익IPS,30.8,38.0,17.0,0.0,17.0,11.0,0.0,133700.0,2.61,342121732400,반도체,0.95,0.8,0.9,약세 (1d:0.4% 3d:1.2% 5d:-3.1%)
417200,LS머트리얼즈,30.0,30.0,16.3,0.0,6.3,11.0,8.0,13380.0,0.22,10472362530,전기·전자,1.0,0.8,0.9,약세 (1d:0.4% 3d:1.2% 5d:-3.1%)
000660,SK하이닉스,29.6,21.1,18.0,6.2,6.0,10.0,3.0,1862000.0,1.2,5376834108000,반도체,0.95,0.8,0.9,약세 (1d:0.4% 3d:1.2% 5d:-3.1%)
299660,셀리드,29.5,68.0,10.0,0.0,20.0,11.0,0.0,2620.0,-9.19,20410021305,바이오,1.0,0.8,0.9,약세 (1d:0.4% 3d:1.2% 5d:-3.1%)
217590,티엠씨,28.9,28.8,11.0,18.0,3.1,3.0,5.0,14330.0,-1.92,10273535370,전기·전자,1.0,0.8,0.9,약세 (1d:0.4% 3d:1.2% 5d:-3.1%)
105560,KB금융,27.6,13.9,6.2,13.6,5.5,0.0,3.0,173200.0,-1.42,118246804900,금융,1.0,0.95,0.9,약세 (1d:0.4% 3d:1.2% 5d:-3.1%)
066570,LG전자,26.9,36.2,7.7,5.4,5.2,13.0,3.0,209000.0,-3.46,114527577000,전기·전자,1.0,0.8,0.9,약세 (1d:0.4% 3d:1.2% 5d:-3.1%)
001440,대한전선,26.9,34.1,12.0,0.0,9.4,11.0,5.0,30950.0,-2.06,95071853250,전기·전자,1.0,0.8,0.9,약세 (1d:0.4% 3d:1.2% 5d:-3.1%)
274090,켄코아에어로스페이스,26.8,55.0,16.3,0.0,14.0,7.0,8.0,12930.0,3.69,47409002640,항공운송,0.82,0.8,0.9,약세 (1d:0.4% 3d:1.2% 5d:-3.1%)
079550,LIG디펜스앤에어로스페이스,24.6,18.5,9.3,6.9,4.8,8.0,8.0,692000.0,-1.7,45629322000,항공운송,0.82,0.9,0.9,약세 (1d:0.4% 3d:1.2% 5d:-3.1%)
299170,더블유에스아이,24.5,60.0,10.0,0.0,14.0,10.0,0.0,1361.0,-11.91,8657983180,내수,1.0,0.8,0.9,약세 (1d:0.4% 3d:1.2% 5d:-3.1%)
055550,신한지주,23.8,26.8,3.9,9.3,7.7,0.0,3.0,109300.0,-3.45,98640681900,금융,1.0,0.95,0.9,약세 (1d:0.4% 3d:1.2% 5d:-3.1%)
010170,대한광통신,23.2,46.2,15.6,0.0,4.6,7.0,5.0,17700.0,-0.62,157547952960,통신,1.0,0.8,0.9,약세 (1d:0.4% 3d:1.2% 5d:-3.1%)
028050,삼성E&A,23.1,37.2,4.4,0.0,8.1,13.0,3.0,49350.0,-3.61,110957134400,일반서비스,1.0,0.9,0.9,약세 (1d:0.4% 3d:1.2% 5d:-3.1%)
054920,한컴위드,23.1,30.0,8.1,0.0,14.0,7.0,3.0,4745.0,0.0,23446535740,IT 서비스,1.0,0.8,0.9,약세 (1d:0.4% 3d:1.2% 5d:-3.1%)
086790,하나금융지주,22.7,29.5,5.7,9.9,7.8,0.0,3.0,133100.0,-2.13,84731706500,금융,1.0,0.95,0.9,약세 (1d:0.4% 3d:1.2% 5d:-3.1%)
001820,삼화콘덴서,22.4,45.7,12.5,0.0,6.6,7.0,5.0,146900.0,-0.34,90832236300,전기·전자,1.0,0.8,0.9,약세 (1d:0.4% 3d:1.2% 5d:-3.1%)
010120,LS ELECTRIC,22.0,26.7,7.0,4.7,4.5,13.0,3.0,205500.0,-3.07,68784030000,반도체,0.95,0.8,0.9,약세 (1d:0.4% 3d:1.2% 5d:-3.1%)
303810,동국생명과학,21.6,75.0,10.0,0.0,14.0,6.0,0.0,2800.0,-7.74,36555912960,바이오,1.0,0.8,0.9,약세 (1d:0.4% 3d:1.2% 5d:-3.1%)
201490,미투온,20.8,58.3,8.9,0.0,14.0,3.0,3.0,3705.0,-0.54,66505302675,IT 서비스,1.0,0.8,0.9,약세 (1d:0.4% 3d:1.2% 5d:-3.1%)
329180,HD현대중공업,18.8,29.5,5.2,7.7,6.3,0.0,3.0,441000.0,-3.18,84566460000,자동차,1.0,0.8,0.9,약세 (1d:0.4% 3d:1.2% 5d:-3.1%)
003670,포스코퓨처엠,15.1,57.7,4.9,0.0,16.1,0.0,0.0,179900.0,-2.33,100301086200,전기·전자,1.0,0.8,0.9,약세 (1d:0.4% 3d:1.2% 5d:-3.1%)
000270,기아,14.7,41.7,5.1,4.6,7.5,0.0,0.0,115400.0,-2.62,92779425200,자동차,1.0,0.95,0.9,약세 (1d:0.4% 3d:1.2% 5d:-3.1%)
000720,현대건설,13.6,48.0,4.3,0.0,14.5,0.0,0.0,121100.0,-7.77,146946262900,건설,1.0,0.8,0.9,약세 (1d:0.4% 3d:1.2% 5d:-3.1%)
034020,두산에너빌리티,13.1,48.0,4.2,0.0,14.0,0.0,0.0,81700.0,-5.55,379251945200,기계·장비,1.0,0.8,0.9,약세 (1d:0.4% 3d:1.2% 5d:-3.1%)
035420,NAVER,12.3,51.3,3.5,0.0,10.9,0.0,0.0,194700.0,-3.13,225168720000,IT 서비스,1.0,0.95,0.9,약세 (1d:0.4% 3d:1.2% 5d:-3.1%)
012450,한화에어로스페이스,12.3,42.7,3.8,5.0,6.7,0.0,3.0,1021000.0,-3.41,133817614000,항공운송,0.82,0.9,0.9,약세 (1d:0.4% 3d:1.2% 5d:-3.1%)
006400,삼성SDI,12.0,41.5,4.7,3.5,8.5,0.0,0.0,521000.0,-1.51,196120030000,전기·전자,1.0,0.8,0.9,약세 (1d:0.4% 3d:1.2% 5d:-3.1%)
005380,현대차,11.2,48.9,6.2,0.2,6.6,0.0,0.0,353500.0,-1.94,196555275000,자동차,1.0,0.95,0.9,약세 (1d:0.4% 3d:1.2% 5d:-3.1%)
047040,대우건설,9.2,55.0,2.6,0.0,10.3,0.0,0.0,17440.0,-7.23,179751978300,건설,1.0,0.8,0.9,약세 (1d:0.4% 3d:1.2% 5d:-3.1%)
006360,GS건설,8.5,48.0,2.2,0.0,9.6,0.0,0.0,34600.0,-7.61,82606310000,건설,1.0,0.8,0.9,약세 (1d:0.4% 3d:1.2% 5d:-3.1%)
