Date,Time,Market,Foreign_Net,Individual_Net,Institutional_Net
20260903,09:00,코스닥,0,0,0
20260903,09:30,코스닥,-980,1120,-140
20260903,09:41,코스닥,-1187,1407,-223
20260903,09:45,코스닥,-1318,1554,-241
20260903,10:00,코스닥,-1450,1780,-330
20260903,10:30,코스닥,-1560,1980,-420
20260903,11:00,코스닥,-1640,2190,-550
20260903,11:30,코스닥,-1710,2380,-670
20260903,12:00,코스닥,-1740,2510,-770
20260903,12:30,코스닥,-1750,2600,-850
20260903,13:00,코스닥,-1756,2655,-876
20260903,13:30,코스닥,-1680,2710,-1030
20260903,14:00,코스닥,-1540,2790,-1250
20260903,14:30,코스닥,-1360,2860,-1500
20260903,15:00,코스닥,-1190,2910,-1720
20260903,15:30,코스닥,-1082,2950,-1838
20260903,09:00,코스피,0,0,0
20260903,09:30,코스피,-1840,1420,310
20260903,09:41,코스피,-2410,919,-263
20260903,09:45,코스피,-2398,919,-433
20260903,10:00,코스피,-2750,1650,-320
20260903,10:30,코스피,-3180,2480,-490
20260903,11:00,코스피,-3560,3620,-580
20260903,11:30,코스피,-3920,4850,-410
20260903,12:00,코스피,-4150,5920,-180
20260903,12:30,코스피,-4280,6850,120
20260903,13:00,코스피,-4322,-6527,374
20260903,13:30,코스피,-3890,-7150,1950
20260903,14:00,코스피,-2980,-7980,4120
20260903,14:30,코스피,-1650,-8720,6450
20260903,15:00,코스피,-420,-9210,8120
20260903,15:30,코스피,414,-9552,9143
