Date,Time,Market,Foreign_Net,Individual_Net,Institutional_Net
20260826,09:30,코스피,-2850,1900,-480
20260826,09:30,코스닥,-820,1100,-300
20260826,10:00,코스피,-3600,1500,-650
20260826,10:00,코스닥,-950,1350,-420
20260826,10:30,코스피,-4400,900,-780
20260826,10:30,코스닥,-1050,1600,-580
20260826,11:00,코스피,-5093,245,-881
20260826,11:00,코스닥,-1145,1848,-731
20260826,11:30,코스피,-4600,-3500,1200
20260826,11:30,코스닥,-1190,1980,-820
20260826,12:00,코스피,-4000,-7200,3100
20260826,12:00,코스닥,-1230,2080,-880
20260826,12:30,코스피,-3435,-9972,4809
20260826,12:30,코스닥,-1267,2147,-917
20260826,13:00,코스피,-2500,-13200,5800
20260826,13:00,코스닥,-1260,2180,-950
20260826,13:30,코스피,-1603,-15558,6526
20260826,13:30,코스닥,-1252,2205,-986
20260826,14:00,코스피,-1450,-18200,6900
20260826,14:00,코스닥,-1100,2050,-1000
20260826,14:30,코스피,-1300,-20100,7200
20260826,14:30,코스닥,-1020,2000,-1020
20260826,15:00,코스피,-1200,-21500,7450
20260826,15:00,코스닥,-960,1950,-1040
20260826,15:30,코스피,-1162,-22414,7594
20260826,15:30,코스닥,-918,1928,-1051
